title,authors,year,n_cited_by,summary,n_cited,pdf_url,cited_papers
Large-scale manual validation of bug fixing commits: A fine-grained analysis of tangling,"S Herbold, A Trautsch, B Ledel",2020,Cited by 9,"Context: Tangled commits are changes to software that address multiple concerns at once. For researchers interested in bugs, tangled commits mean that they actually study not only",1,https://www.researchgate.net/profile/Abdullah-Aldaeej/publication/348974952_Large-Scale_Manual_Validation_of_Bug_Fixing_Commits_A_Fine-grained_Analysis_of_Tangling/data/60198b2ea6fdcc37a8fbf80a/201106244-1.pdf,Prevalence of
Considerations and pitfalls in controlled experiments on code comprehension,DG Feitelson,2021,Cited by 8,"Understanding program code is a complicated endeavor. As such, myriad different factors can influence the outcome. Investigations of program comprehension, and in particular",1,https://arxiv.org/pdf/2103.08769,Understanding misunderstandings
Examining novice programmers' software design strategies through verbal protocol analysis,MKC Yeh,2018,Cited by 5,This paper describes the change in software design strategies used by novice programmers over the course of one semester by using verbal protocol analysis. Our participants were,1,http://php.scripts.psu.edu/students/k/q/kqy1/papers/Yeh2018.pdf,Understanding misunderstandings
Blindspots in python and java apis result in vulnerable code,"Y Brun, T Lin, JE Somerville, EM Myers",2021,Cited by 4,"Blindspots in APIs can cause software engineers to introduce vulnerabilities, but such blindspots are, unfortunately, common. We study the effect APIs with blindspots have on",1,https://dl.acm.org/doi/pdf/10.1145/3571850,Understanding misunderstandings
Learning and programming challenges of rust: A mixed-methods study,"S Zhu, Z Zhang, B Qin, A Xiong, L Song",2022,Cited by 3,Rust is a young systems programming language designed to provide both the safety guarantees of high-level languages and the execution performance of low-level languages,1,https://songlh.github.io/paper/survey.pdf,Understanding misunderstandings
Decoding confusing code: Social representations among developers,"R de Mello, JA da Costa, B de Oliveira",2021,Cited by 2,Context. Confusing code is any code element in which developers have considerable difficulty reaching its comprehension. These difficulties may result from a plethora of,1,"",Understanding misunderstandings
Considerations and pitfalls for reducing threats to the validity of controlled experiments on code comprehension,DG Feitelson,2022,Cited by 2,"Understanding program code is a complicated endeavor. As a result, studying code comprehension is also hard. The prevailing approach for such studies is to use controlled",1,https://www.cs.huji.ac.il/w~feit/papers/Pitfalls22EmpSE.pdf,Understanding misunderstandings
Understanding the Impact of Introducing Lambda Expressions in Java Programs,"WLM Mendona, J Fortes, FV Lopes",2020,Cited by 2,"Background: The Java programming language version eight introduced several features that encourage the functional style of programming, including the support for lambda",1,"",Understanding misunderstandings
An empirical evaluation of the Cognitive Complexity measure as a predictor of code understandability,"L Lavazza, AZ Abualkishik, G Liu, S Morasca",2023,Cited by 1,"Background: Code that is difficult to understand is also difficult to inspect and maintain and ultimately causes increased costs. Therefore, it would be greatly beneficial to have source",1,https://www.researchgate.net/profile/Luigi-Lavazza/publication/365596221_An_empirical_evaluation_of_the_Cognitive_Complexity_measure_as_a_predictor_of_code_understandability/links/637bb92f2f4bca7fd07c56a3/An-empirical-evaluation-of-the-Cognitive-Complexity-measure-as-a-predictor-of-code-understandability.pdf,Understanding misunderstandings
A validation of cognitive complexity as a measure of source code understandability,M Muoz Barn ,2019,Cited by 1,Understanding source code is an integral part of the software development process. There have been numerous attempts to describe source code metrics that correlate with,1,https://elib.uni-stuttgart.de/bitstream/11682/10680/1/bachelor-thesis_MarvinMunozBaron.pdf,Understanding misunderstandings
Design and Implementation of a Novel Programming Language That Promotes Clean Coding,JH Wong ,2019,"","Software maintenance is one of the most expensive software activity, implying that code maintainability is undeniably important in any software project. Many software engineers",1,http://eprints.utar.edu.my/3387/1/1500181-WongJiaHau-FYP2_Report.pdf,Understanding misunderstandings
Using contextual knowledge in interactive fault localization,"F Horvth,  Beszdes, B Vancsics, G Balogh",2022,"",Tool support for automated fault localization in program debugging is limited because state-of-the-art algorithms often fail to provide efficient help to the user. They usually offer a ranked,1,https://link.springer.com/article/10.1007/s10664-022-10190-x,Thinking aloud
Rough Sets: Visually Discerning Neurological Functionality During Thought Processes,"R Lewis, CA Mello, Y Zhuang, MKC Yeh, Y Yan",2018,"",The central aim of this paper is to test and illustrate the viability of utilizing Rough Set Theory to visualize neurological events that occur when a human is thinking very intensely to solve,1,https://drive.google.com/file/d/1gw-P3POqjANgz3DAjlJqeVEwSPWP9ESZ/view,Understanding misunderstandings
Mimir: sistema de rbitro online para testes de compreenso de cdigo,EJA S ,2022,"",Compreenso de cdigo  a atividade na qual engenheiros de software buscam o entendimento do comportamento de um sistema de software utilizando seu cdigo fonte,1,https://repositorio.ufpe.br/bitstream/123456789/47646/1/TCC%20Eidson%20Jacques%20Almeida%20de%20S%C3%A1.pdf,Understanding misunderstandings
BOHR-Uma Ferramenta para a Identificao de tomos de Confuso em Cdigos Java,"W Mendes, W Viana, L Rocha",2021,"","A atividade de compreenso do cdigo-fonte  fundamental no desenvolvimento e manuteno de software. Nesse contexto, tomos de Confuso (AC) surgem como a menor",1,https://sol.sbc.org.br/index.php/vem/article/download/17216/17054,Understanding misunderstandings
"Anlise, deteco e correo de code smells na refatorao de aplicaes web","CLM Costa, GT Lima ",2021,"",Softwares de apoio a deciso so de grande importncia em diversos ramos da sociedade. Entretanto esses softwares so usualmente privados e possuem alto custo no mercado,1,https://bdm.unb.br/bitstream/10483/31238/1/2021_ChristianLuisCosta_GabrielLima_tcc.pdf,Understanding misunderstandings
Estimating developers' cognitive load at a fine-grained level using eye-tracking measures,"A Abbad-Andaloussi, T Sorg, B Weber",2022,"","The comprehension of source code is a task inherent to many software development activities. Code change, code review and debugging are examples of these activities that",1,https://dl.acm.org/doi/pdf/10.1145/3524610.3527890,Understanding misunderstandings
A PORT in Stormy SEAs: Leveraging Past Problems to Prevent Future Failures,PK Moore ,2022,"","Software is increasingly expected to operate across widely varying environments. If not handled appropriately, any differences between these environments could cause even well",1,"",Understanding misunderstandings
Recommending Code Understandability Improvements based on Code Reviews,D Oliveira,2021,"","Developers spend 70% of their time understanding code. Code that is easy to read can save time, while hard-to-read code can lead to the introduction of bugs. However, it is difficult to",1,https://arxiv.org/pdf/2110.00782,Understanding misunderstandings
SE Factual Knowledge in Frozen Giant Code Model: A Study on FQN and its Retrieval,"Q Huang, D Liao, Z Xing, Z Yuan, Q Lu, X Xu",2022,"",Pre-trained giant code models (PCMs) start coming into the developers' daily practices. Understanding what types of and how much software knowledge is packed into PCMs is the,1,https://arxiv.org/pdf/2212.08221,Prevalence of
Program Comprehension Challenges Detection for Pull Requests with Machine Learning,E Chiang ,2021,"","The importance of program comprehension in software development is such that software engineers spend more time, 35% to 70% of their time, understanding code than writing it",1,https://researchspace.auckland.ac.nz/bitstream/handle/2292/55125/Chiang-2021-thesis.pdf?sequence=5,Understanding misunderstandings
TECHNOLOGY AND LANGUAGE,C von Xylander ,"","","Robots, Bourdieu, Kant, and Sex-Coeckelbergh's philosophy of technical assemblages has it all. This commentary considers his early work on the linguistic construction of artificial",1,"",Thinking aloud
Needles in a Haystack: Using PORT to Catch Bad Behaviors within Application Recordings,"P Moore, T Wies, M Waldman, P Frankl, J Cappos ","","","Earlier work has proven that information extracted from recordings of an application's activity can be tremendously valuable. However, given the many requests that pass between",1,https://ssl.engineering.nyu.edu/papers/moore_port_icsoft_2022.pdf,Understanding misunderstandings
Um estudo sobre definio e avaliao da readability e legibility do cdigo fonte,RB SANTOS ,2021,"","Entender cdigo fonte  uma atividade importante no desenvolvimento de software. Ela  fundamental durante a correo de problemas, evoluo do sistema e durante otimizao",1,https://repositorio.ufpe.br/bitstream/123456789/40299/1/DISSERTA%C3%87%C3%83O%20Reydne%20Bruno%20dos%20Santos.pdf,Understanding misunderstandings
